Setting up GPIOs ... exporting gpio (aspeed-gpio, GPIOY0), shadow=BOARD_REV_ID0
exporting gpio (aspeed-gpio, GPIOY1), shadow=BOARD_REV_ID1
exporting gpio (aspeed-gpio, GPIOY2), shadow=BOARD_REV_ID2
Using GPIO DVT table exporting gpio (aspeed-gpio, GPIOB0), shadow=PANTHER_I2C_ALERT_N
exporting gpio (aspeed-gpio, GPIOB1), shadow=MSERV_NIC_SMBUS_ALERT_N
exporting gpio (aspeed-gpio, GPIOB2), shadow=DEBUG_PORT_UART_SEL_N
exporting gpio (aspeed-gpio, GPIOB5), shadow=LED_POSTCODE_5
exporting gpio (aspeed-gpio, GPIOB6), shadow=LED_POSTCODE_6
exporting gpio (aspeed-gpio, GPIOB7), shadow=LED_POSTCODE_7
exporting gpio (aspeed-gpio, GPIOC2), shadow=ISO_BUF_EN
exporting gpio (aspeed-gpio, GPIOD0), shadow=BMC_PWR_BTN_IN_N
exporting gpio (aspeed-gpio, GPIOD1), shadow=BMC_PWR_BTN_OUT_N
exporting gpio (aspeed-gpio, GPIOD2), shadow=BMC_CPLD_RESET1
exporting gpio (aspeed-gpio, GPIOD3), shadow=BMC_CPLD_RESET2
exporting gpio (aspeed-gpio, GPIOD4), shadow=BMC_CPLD_RESET3
exporting gpio (aspeed-gpio, GPIOD5), shadow=BMC_CPLD_RESET4
exporting gpio (aspeed-gpio, GPIOD7), shadow=BMC_CPLD_QSFP_INT
exporting gpio (aspeed-gpio, GPIOE0), shadow=DEBUG_UART_SEL_0
exporting gpio (aspeed-gpio, GPIOE2), shadow=SWITCH_EEPROM1_WRT
exporting gpio (aspeed-gpio, GPIOE4), shadow=ISO_MICROSRV_PRSNT_N
exporting gpio (aspeed-gpio, GPIOE5), shadow=LED_PWR_BLUE
exporting gpio (aspeed-gpio, GPIOF0), shadow=MSERVE_ISOBUF_EN
exporting gpio (aspeed-gpio, GPIOF1), shadow=BMC_MAIN_RESET_N
exporting gpio (aspeed-gpio, GPIOF2), shadow=CPLD_JTAG_SEL
exporting gpio (aspeed-gpio, GPIOF4), shadow=MSERV_POWERUP
exporting gpio (aspeed-gpio, GPIOG0), shadow=LED_POSTCODE_0
exporting gpio (aspeed-gpio, GPIOG1), shadow=LED_POSTCODE_1
exporting gpio (aspeed-gpio, GPIOG2), shadow=LED_POSTCODE_2
exporting gpio (aspeed-gpio, GPIOG3), shadow=LED_POSTCODE_3
exporting gpio (aspeed-gpio, GPIOG4), shadow=BMC_WDTRST1
exporting gpio (aspeed-gpio, GPIOG5), shadow=BMC_WDTRST2
exporting gpio (aspeed-gpio, GPIOG6), shadow=BMC_COM_NIC_ISOBUF_EN
exporting gpio (aspeed-gpio, GPIOG7), shadow=BMC_COM_PANTHER_ISOBUF_EN
exporting gpio (aspeed-gpio, GPIOH3), shadow=QSFP_LED_POSITION
exporting gpio (aspeed-gpio, GPIOH4), shadow=PM_SM_ALERT_N
exporting gpio (aspeed-gpio, GPIOI4), shadow=BMC_EEPROM1_SPI_SS
exporting gpio (aspeed-gpio, GPIOI5), shadow=BMC_EEPROM1_SPI_SCK
exporting gpio (aspeed-gpio, GPIOI6), shadow=BMC_EEPROM1_SPI_MOSI
exporting gpio (aspeed-gpio, GPIOI7), shadow=BMC_EEPROM1_SPI_MISO
exporting gpio (aspeed-gpio, GPIOJ0), shadow=RCKMON_SPARE0
exporting gpio (aspeed-gpio, GPIOJ1), shadow=RCKMON_SPARE1
exporting gpio (aspeed-gpio, GPIOJ2), shadow=RCKMON_SPARE2
exporting gpio (aspeed-gpio, GPIOJ3), shadow=RCKMON_SPARE3
exporting gpio (aspeed-gpio, GPIOJ4), shadow=FANCARD_CPLD_TMS
exporting gpio (aspeed-gpio, GPIOJ5), shadow=FANCARD_CPLD_TCK
exporting gpio (aspeed-gpio, GPIOJ6), shadow=FANCARD_CPLD_TDI
exporting gpio (aspeed-gpio, GPIOJ7), shadow=FANCARD_CPLD_TDO
exporting gpio (aspeed-gpio, GPIOL5), shadow=BMC_UART_1_RTS
exporting gpio (aspeed-gpio, GPIOM0), shadow=CPLD_UPD_EN
exporting gpio (aspeed-gpio, GPIOM1), shadow=SMB_ALERT
exporting gpio (aspeed-gpio, GPIOM3), shadow=TH_POWERUP
exporting gpio (aspeed-gpio, GPIOM4), shadow=BMC_CPLD_TMS
exporting gpio (aspeed-gpio, GPIOM5), shadow=BMC_CPLD_TDI
exporting gpio (aspeed-gpio, GPIOM6), shadow=BMC_CPLD_TCK
exporting gpio (aspeed-gpio, GPIOM7), shadow=BMC_CPLD_TDO
exporting gpio (aspeed-gpio, GPION0), shadow=ISO_COM_SUS_S3_N
exporting gpio (aspeed-gpio, GPION1), shadow=ISO_COM_SUS_S4_N
exporting gpio (aspeed-gpio, GPION2), shadow=ISO_COM_SUS_S5_N
exporting gpio (aspeed-gpio, GPION3), shadow=ISO_COM_SUS_STAT_N
exporting gpio (aspeed-gpio, GPION4), shadow=ISO_COM_BRG_WDT
exporting gpio (aspeed-gpio, GPION5), shadow=BRG_COM_BIOS_DIS0_N
exporting gpio (aspeed-gpio, GPION6), shadow=BRG_COM_BIOS_DIS1_N
exporting gpio (aspeed-gpio, GPION7), shadow=ISO_COM_PWROK
exporting gpio (aspeed-gpio, GPIOO0), shadow=COM_SPI_SEL
exporting gpio (aspeed-gpio, GPIOO1), shadow=COM6_BUF_EN
exporting gpio (aspeed-gpio, GPIOO2), shadow=RCKMON_SPARE4
exporting gpio (aspeed-gpio, GPIOO3), shadow=RCKMON_SPARE5
exporting gpio (aspeed-gpio, GPIOO4), shadow=TPM_SPI_SEL
exporting gpio (aspeed-gpio, GPIOO5), shadow=TPM_SPI_BUF_EN
exporting gpio (aspeed-gpio, GPIOO6), shadow=ISO_BRG_THRMTRIP_N
exporting gpio (aspeed-gpio, GPIOO7), shadow=ISO_BRG_THRM_N
exporting gpio (aspeed-gpio, GPIOP0), shadow=RMON1_PF
exporting gpio (aspeed-gpio, GPIOP1), shadow=RMON1_RF
exporting gpio (aspeed-gpio, GPIOP2), shadow=RMON2_PF
exporting gpio (aspeed-gpio, GPIOP3), shadow=RMON2_RF
exporting gpio (aspeed-gpio, GPIOP4), shadow=RMON3_PF
exporting gpio (aspeed-gpio, GPIOP5), shadow=RMON3_RF
exporting gpio (aspeed-gpio, GPIOP6), shadow=FANCARD_I2C_ALARM
